sample_idx,output_0,output_1,output_2,output_3,output_4,output_5
110,0.9394078254699707,-0.6642028093338013,1.5292868614196777,-1.1985124349594116,1.1198009252548218,-0.7503096461296082
111,1.0220441818237305,-0.722178041934967,1.5358721017837524,-1.206877589225769,1.1687039136886597,-0.8368638753890991
112,1.1026910543441772,-0.7789714336395264,1.6530675888061523,-1.3174152374267578,1.335343599319458,-0.9864802956581116
113,1.0734245777130127,-0.7491782903671265,1.6031616926193237,-1.2725602388381958,1.3134596347808838,-0.9748499989509583
114,1.1224900484085083,-0.8038132190704346,1.7332919836044312,-1.3884445428848267,1.4951086044311523,-1.133518934249878
115,1.0950766801834106,-0.7708693742752075,1.6960821151733398,-1.3519041538238525,1.5042266845703125,-1.147261381149292
116,1.1448522806167603,-0.8155679702758789,1.734153389930725,-1.3930240869522095,1.533306360244751,-1.1915748119354248
117,1.0119593143463135,-0.7404174208641052,1.736243486404419,-1.3885908126831055,1.543724536895752,-1.1557329893112183
118,0.9901118278503418,-0.7309294939041138,1.7247698307037354,-1.368628978729248,1.4829330444335938,-1.0889626741409302
119,0.979120671749115,-0.7208681106567383,1.723305106163025,-1.3611195087432861,1.5023831129074097,-1.104329228401184
120,0.9861974716186523,-0.7296613454818726,1.7424368858337402,-1.3834450244903564,1.5618680715560913,-1.1664414405822754
121,0.9785032272338867,-0.7325612306594849,1.7511913776397705,-1.3844070434570312,1.5377588272094727,-1.1429941654205322
122,0.9580724835395813,-0.7124887108802795,1.7377067804336548,-1.367739200592041,1.5337671041488647,-1.1315048933029175
123,0.9698547124862671,-0.7322227358818054,1.7638840675354004,-1.3908734321594238,1.555071234703064,-1.1542918682098389
124,0.9512078762054443,-0.7057068943977356,1.7281475067138672,-1.358832836151123,1.5284066200256348,-1.1280791759490967
125,0.9498622417449951,-0.7146016359329224,1.7504122257232666,-1.3724100589752197,1.538238286972046,-1.133652687072754
126,0.9436181783676147,-0.6945469975471497,1.7199304103851318,-1.3482036590576172,1.5380933284759521,-1.1347416639328003
127,0.9253045320510864,-0.6901671290397644,1.740187168121338,-1.3631796836853027,1.58399498462677,-1.1784403324127197
128,0.9145456552505493,-0.6774190664291382,1.7275978326797485,-1.343761920928955,1.5565105676651,-1.1465306282043457
129,0.9219327569007874,-0.6965426206588745,1.755920648574829,-1.3706384897232056,1.5631356239318848,-1.157368779182434
130,0.9058201313018799,-0.6806252598762512,1.7498574256896973,-1.3553428649902344,1.5551199913024902,-1.1421183347702026
131,0.9128444194793701,-0.6832070350646973,1.7456400394439697,-1.3565526008605957,1.5649032592773438,-1.1550273895263672
132,0.9047435522079468,-0.6752606630325317,1.736634373664856,-1.343070149421692,1.5306413173675537,-1.119688630104065
133,0.926275908946991,-0.696220874786377,1.7391362190246582,-1.352527141571045,1.5177192687988281,-1.1124298572540283
134,0.9099361896514893,-0.6782232522964478,1.734120488166809,-1.3394469022750854,1.5138709545135498,-1.1016995906829834
135,0.9207508563995361,-0.6835986375808716,1.7228987216949463,-1.3397278785705566,1.5069180727005005,-1.0967674255371094
136,0.9088780879974365,-0.6727384328842163,1.7134013175964355,-1.3249168395996094,1.4776387214660645,-1.0664386749267578
137,0.9187484383583069,-0.6731452345848083,1.6918833255767822,-1.3116984367370605,1.45588219165802,-1.0451011657714844
138,0.9138697385787964,-0.6770904064178467,1.7117632627487183,-1.3279874324798584,1.4734437465667725,-1.0633463859558105
139,0.912405788898468,-0.6689642667770386,1.7015290260314941,-1.317779541015625,1.4774198532104492,-1.0625584125518799
140,0.9113758206367493,-0.6660544872283936,1.6927721500396729,-1.3132543563842773,1.4757027626037598,-1.0658977031707764
141,0.9331554174423218,-0.6911078095436096,1.7271287441253662,-1.3471280336380005,1.5237246751785278,-1.1134039163589478
142,0.9191181659698486,-0.6818020939826965,1.7271225452423096,-1.346146583557129,1.5205862522125244,-1.1106281280517578
143,0.9475371837615967,-0.7153846025466919,1.771451473236084,-1.3956071138381958,1.5875908136367798,-1.1825062036514282
144,0.9383611083030701,-0.7032079696655273,1.753871202468872,-1.375855803489685,1.5678404569625854,-1.1612353324890137
145,0.9835973978042603,-0.7492133975028992,1.802135705947876,-1.4291386604309082,1.6199170351028442,-1.2214715480804443
146,0.953482449054718,-0.7230792045593262,1.7837328910827637,-1.3970274925231934,1.5827019214630127,-1.1756958961486816
